system:index,date_edit,kdkab,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,temperature_2m,total_precipitation,.geo,produksi,Produktivitas
0,1/1/2019,1,20.0874326,20.5393231,20.5293903,20.5041455,20.4618257,19.9862136,0.009786225,"{""type"":""MultiPoint"",""coordinates"":[]}",6153.01,5.554060153
1,2/1/2019,1,20.2881787,20.7198194,20.6976936,20.6398145,20.5197874,20.1107824,0.012938775,"{""type"":""MultiPoint"",""coordinates"":[]}",4714.86,5.551139106
2,3/1/2019,1,20.3442485,20.8368495,20.8114366,20.7378978,20.6037975,20.3299366,0.008058918,"{""type"":""MultiPoint"",""coordinates"":[]}",12925.46,5.555013087
3,4/1/2019,1,20.6835153,21.0704224,21.0185054,20.9004959,20.711864,20.5545825,0.012861702,"{""type"":""MultiPoint"",""coordinates"":[]}",14549.35,5.555010423
4,5/1/2019,1,20.9217292,21.3937567,21.3677235,21.2432277,20.9139019,20.8179561,0.005004098,"{""type"":""MultiPoint"",""coordinates"":[]}",10814.99,5.338020661
5,6/1/2019,1,20.5264966,20.9485587,20.9579411,20.9949239,21.0011923,20.3933405,0.011216519,"{""type"":""MultiPoint"",""coordinates"":[]}",10478.13,5.336237892
6,7/1/2019,1,20.09724,20.6421728,20.6848287,20.8021634,20.9545354,20.1551121,0.004155956,"{""type"":""MultiPoint"",""coordinates"":[]}",9580.34,5.337117836
7,8/1/2019,1,20.2250779,20.7485086,20.7483941,20.7577105,20.8474994,20.2598493,0.004284778,"{""type"":""MultiPoint"",""coordinates"":[]}",12222.28,5.337683039
8,9/1/2019,1,20.4427902,21.0031879,20.9792591,20.9129323,20.8384903,20.5148845,0.003119682,"{""type"":""MultiPoint"",""coordinates"":[]}",6061.22,4.763537197
9,10/1/2019,1,20.4688784,20.9953058,20.9860447,20.9609389,20.892849,20.3504077,0.00658931,"{""type"":""MultiPoint"",""coordinates"":[]}",3803.27,4.764211449
10,11/1/2019,1,20.579732,21.0751431,21.0397232,20.9833911,20.9396295,20.4244513,0.007635987,"{""type"":""MultiPoint"",""coordinates"":[]}",1595.87,4.764217691
11,12/1/2019,1,20.0386182,20.4912401,20.5453651,20.6818219,20.8856414,19.8726505,0.015542436,"{""type"":""MultiPoint"",""coordinates"":[]}",5786.9,4.764213854
12,1/1/2019,2,23.5063252,24.0661028,24.0770762,24.110982,24.081346,23.3283123,0.009954316,"{""type"":""MultiPoint"",""coordinates"":[]}",2686.67,4.195365324
13,2/1/2019,2,23.6464128,24.1837343,24.1579883,24.1043746,24.0808725,23.3040079,0.011964925,"{""type"":""MultiPoint"",""coordinates"":[]}",2708.38,4.202426763
14,3/1/2019,2,23.9303757,24.515999,24.4773884,24.359649,24.1572146,23.785636,0.007914699,"{""type"":""MultiPoint"",""coordinates"":[]}",3614.87,4.159995857
15,4/1/2019,2,24.0884256,24.5932595,24.5506289,24.459748,24.2854503,23.8692329,0.012663703,"{""type"":""MultiPoint"",""coordinates"":[]}",7998.85,4.040231336
16,5/1/2019,2,24.2069033,24.7866682,24.7805841,24.7110061,24.4534933,24.1171464,0.005385707,"{""type"":""MultiPoint"",""coordinates"":[]}",2554.37,4.126874111
17,6/1/2019,2,23.6626026,24.2215209,24.25255,24.348637,24.4714403,23.590596,0.00800391,"{""type"":""MultiPoint"",""coordinates"":[]}",206.64,4.122082585
18,7/1/2019,2,23.1076873,23.7412564,23.8141469,24.0227172,24.3438352,23.2379188,0.00380726,"{""type"":""MultiPoint"",""coordinates"":[]}",1007.31,4.118024611
